,SEX,AGE,ACTIVITY,COUNTRY,MONTH,YEAR,SPECIES,TYPE,FATAL,INJURY
682,M,Children,Playing,USA,4,2013,Non defined,Unprovoked,N,LOWER EXTREMITIES
684,M,Youth,Surfing,USA,4,2013,Bull shark,Unprovoked,N,OTHERS
686,M,Adult,boarding,FRENCH POLYNESIA,4,2013,Non defined,Unprovoked,N,LOWER EXTREMITIES
689,M,Adult,Surfing,USA,4,2013,White shark,Unprovoked,N,OTHERS
694,M,Young Adult,Fishing,SOUTH AFRICA,3,2013,Raggedtooth shark,Provoked,N,OTHERS
696,M,Senior,Spearfishing,JAMAICA,3,2013,Tiger shark,Unprovoked,Y,FATAL
697,M,Young Adult,Spearfishing,AUSTRALIA,3,2013,Non defined,Unprovoked,N,OTHERS
700,M,Adult,Swimming,NEW ZEALAND,2,2013,White shark,Unprovoked,Y,FATAL
703,M,Youth,Surfing,USA,2,2013,Non defined,Unprovoked,N,OTHERS
704,M,Adult,diving,FRENCH POLYNESIA,2,2013,Non defined,Unprovoked,N,OTHERS
709,M,Adult,Surfing,USA,1,2013,Tiger shark,Unprovoked,N,OTHERS
713,M,Youth,Surfing,AUSTRALIA,12,2012,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
714,M,Young Adult,boarding,AUSTRALIA,12,2012,Bull shark,Unprovoked,N,OTHERS
716,M,Young Adult,Surfing,AUSTRALIA,12,2012,Tiger shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
717,M,Adult,Surfing,USA,12,2012,Non defined,Unprovoked,N,LOWER EXTREMITIES
718,M,Young Adult,Spearfishing,AUSTRALIA,12,2012,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
720,M,Adult,Snorkeling,USA,11,2012,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
722,M,Young Adult,Swimming,MEXICO,11,2012,Non defined,Unprovoked,Y,FATAL
723,M,Children,Surfing,USA,11,2012,Non defined,Unprovoked,N,LOWER EXTREMITIES
724,M,Young Adult,Diving,USA,11,2012,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
725,M,Adult,Surfing,USA,11,2012,Tiger shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
726,M,Young Adult,Surfing,USA,1,2012,White shark,Unprovoked,N,OTHERS
727,F,Adult,Swimming,USA,1,2012,Tiger shark,Unprovoked,N,OTHERS
728,M,Adult,Surfing,USA,1,2012,White shark,Unprovoked,Y,FATAL
731,M,Adult,boarding,USA,1,2012,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
735,M,Children,Bodyboarding,AUSTRALIA,1,2012,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
736,M,Youth,Surfing,USA,9,2012,Non defined,Unprovoked,N,OTHERS
737,M,Youth,Surfing,USA,9,2012,White shark,Unprovoked,N,LOWER EXTREMITIES
746,F,Children,boarding,USA,9,2012,White shark,Unprovoked,N,OTHERS
748,F,Adult,Swimming,USA,9,2012,White shark,Unprovoked,N,LOWER EXTREMITIES
754,M,Adult,diving,USA,8,2012,Non defined,Unprovoked,N,OTHERS
758,M,Adult,Surfing,AUSTRALIA,7,2012,White shark,Unprovoked,N,OTHERS
760,M,Adult,surfing,USA,7,2012,White shark,Unprovoked,N,LOWER EXTREMITIES
765,M,Youth,Surfing,AUSTRALIA,7,2012,White shark,Unprovoked,Y,FATAL
769,M,Adult,Kayaking,USA,7,2012,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
770,M,Young Adult,Surfing,SOUTH AFRICA,7,2012,Non defined,Unprovoked,N,LOWER EXTREMITIES
772,M,Children,Swimming,USA,6,2012,Bull shark,Unprovoked,N,OTHERS
774,F,Youth,Sitting,USA,6,2012,Non defined,Unprovoked,N,OTHERS
